"Year","Ndays","Ndets","ID","CamNum_Redux"
2018,85,0,2576,1
2017,3,0,2317,2
2017,103,0,2058,3
2018,121,1,2058,3
2018,80,0,2143,4
2017,10,0,2748,5
2017,78,0,2230,6
2017,121,1,2578,7
2018,121,0,2578,7
2017,121,0,2662,8
2018,121,0,2662,8
2017,121,9,2059,9
2018,120,1,2059,9
2017,42,0,2145,10
2017,101,0,2663,11
2018,121,0,2663,11
2017,121,0,2835,12
2018,119,0,2835,13
2017,121,0,2061,14
2018,41,2,2061,14
2017,23,0,2232,15
2017,11,0,2922,16
2017,7,0,2495,17
2017,1,0,2581,18
2017,60,0,2408,19
2018,86,0,2408,19
2017,24,0,2581,20
2017,22,1,1254,21
2018,119,3,1254,21
2018,121,1,2234,22
2017,96,0,2666,23
2018,121,0,2666,23
2017,121,0,2666,24
2018,121,0,2666,24
2017,70,0,2323,25
2018,114,7,2235,26
2017,116,1,2410,27
2018,121,0,2410,27
2017,121,0,3009,28
2017,88,0,2583,29
2018,121,0,2583,29
2017,90,0,2497,30
2018,121,0,2497,30
2017,34,0,2323,31
2018,121,0,2410,32
2017,97,0,2667,33
2018,121,0,2667,33
2017,31,3,1020,34
2017,97,0,2150,35
2018,121,0,2150,35
2018,26,3,2237,36
2017,101,0,2412,37
2018,28,1,2412,37
2017,121,1,2841,38
2018,119,0,2841,38
2018,121,20,411,39
2018,5,2,1339,40
2016,114,2,1341,41
2017,26,0,1341,42
2018,115,4,1341,42
2018,121,1,169,43
2018,121,7,304,44
2018,121,2,171,45
2018,21,0,117,46
2016,27,0,1736,47
2017,100,2,1736,47
2018,74,0,416,48
2017,121,2,305,49
2018,121,1,305,49
2018,37,0,417,50
2017,121,3,1186,51
2017,46,1,2159,52
2018,82,0,174,53
2017,27,0,1658,54
2018,71,0,1658,54
2018,105,11,239,55
2018,121,5,1581,56
2018,121,2,419,57
2018,121,5,146,58
2016,32,0,3642,59
2017,84,1,3642,59
2017,120,1,3021,60
2018,30,1,99,61
2018,34,1,99,62
2018,24,0,344,63
2018,50,0,344,64
2018,2,0,420,65
2016,27,3,958,66
2017,121,0,958,66
2018,121,17,958,66
2016,16,0,1110,67
2017,121,0,1110,67
2018,84,0,1110,67
2018,121,0,2680,68
2018,121,1,177,69
2018,121,4,1825,70
2016,15,0,3714,71
2017,121,0,3714,72
2018,66,0,3714,72
2016,121,4,616,73
2017,50,0,616,73
2018,120,4,616,73
2016,105,3,811,74
2017,82,1,811,74
2018,121,1,811,74
2017,121,9,885,75
2018,92,7,885,75
2016,69,6,1033,76
2017,49,3,1033,76
2018,21,0,3268,77
2017,54,12,1111,78
2018,121,17,1111,78
2018,35,0,512,79
2016,111,1,512,80
2017,25,1,512,80
2016,58,1,812,81
2017,95,1,812,81
2017,53,0,3996,82
2018,27,0,3996,82
2018,117,0,178,83
2017,97,3,740,84
2018,121,9,740,84
2016,115,7,563,85
2017,121,16,563,85
2018,121,3,563,85
2017,50,0,617,86
2018,117,0,617,86
2016,112,2,617,87
2018,121,6,311,88
2017,121,11,960,89
2018,101,35,960,89
2018,47,0,1585,90
2017,46,0,1508,91
2018,92,2,1508,91
2018,121,7,741,92
2016,114,1,564,93
2017,121,12,564,93
2018,121,4,564,93
2017,31,2,618,94
2018,121,1,618,94
2016,30,0,676,95
2016,36,0,513,96
2017,120,3,513,96
2018,121,5,513,96
2016,42,1,513,97
2018,121,5,1585,98
2016,5,0,3788,99
2017,94,0,3788,99
2018,57,0,3788,99
2018,121,0,4302,100
2016,91,1,565,101
2017,51,2,565,101
2018,121,4,565,101
2018,39,0,58,102
2017,121,1,1272,103
2017,47,3,1664,104
2018,121,5,1664,104
2018,84,0,3859,105
2018,121,5,424,106
2017,121,0,3859,107
2018,29,0,3859,107
2017,25,0,1828,108
2018,121,8,1828,108
2017,57,0,2855,109
2016,72,1,678,110
2017,121,1,678,110
2018,121,2,678,110
2016,121,2,566,111
2017,121,1,566,111
2018,62,3,566,111
2018,110,1,3271,112
2018,17,0,4419,113
2017,116,0,4764,114
2018,121,0,4764,114
2018,121,4,385,115
2017,121,0,4707,116
2018,121,0,4707,116
2018,121,6,1587,117
2016,20,1,1273,118
2017,121,1,1273,118
2018,95,1,1273,118
2018,99,0,246,119
2017,117,0,4535,120
2018,84,0,4535,120
2017,30,0,1510,121
2018,121,12,1510,121
2018,88,6,469,122
2016,38,0,1037,123
2017,121,3,1037,123
